name,industry,market_cap,employees,country,headquarters,address,sector,ceo,founded,founders,share_price,website,stock,area_served,revenue
AGIOS PHARMACEUTICALS," Healthcare, Pharmaceutical, HealthCare Products, Biopharmaceutical, Biotechnology, Technology",2.634 Billion USD,,USA,,,,Not found,2008,,,,,,0 Million USD
MORPHIC HOLDING," Healthcare, Biotechnology",2.297 Billion USD,,USA,,,,Not found,2014,,,,,,19 Million USD
FU SHOU YUAN INTERNATIONAL GROUP," Consumer Cyclical, Funeral Services Provider, Consumer Services",2.125 Billion USD,,China,,,,Not found,Not found,,,,,,338 Million USD
ABERFORTH SMALLER COMPANIES TRUST," Investments, Asset Management",1.979 Billion USD,,UK,,,,Not found,1990,,,,,,-298 Million USD
GRANITE CONSTRUCTION," Industries, Construction, Construction Materials",1.858 Billion USD,,USA,,,,Not found,1922,,,,,,"3,010 Million USD"
SAUL CENTERS," Real Estate, Consumer Services, Retail, Property Investments, Commercial Properties",1.855 Billion USD,,USA,,,,Not found,1993,,,,,,239 Million USD
SOLUS ADVANCED MATERIALS," Technology, Electronics, Batteries, Chemicals",1.350 Billion USD,,South Korea,,,,Not found,Not found,,,,,,250 Million USD
SHANGHAI AJ GROUP," Financial Services, Asset Management",1.732 Billion USD,,China,,,,Not found,Not found,,,,,,629 Million USD
WEST HOLDINGS CORPORATION," Utilities, Electricity Generation",1.718 Billion USD,,Japan,,,,Not found,1981,,,,,,496 Million USD
OUE COMMERCIAL REAL ESTATE INVESTMENT TRUST," Real Estate, Retail, Property Investments, Commercial Properties",1.670 Billion USD,,Singapore,,,,Not found,2013,,,,,,183 Million USD
SHANDONG LONGDA MEAT FOODSTUFF," Consumer Defensive, FMCG, Package Foods, Food Products",1.664 Billion USD,,China,,,,Not found,Not found,,,,,,"3,615 Million USD"
ETERNAL MATERIALS," Basic Materials, Chemicals",1.652 Billion USD,,Taiwan,,,,Not found,1964,,,,,,"1,668 Million USD"
KRONOS WORLDWIDE," Basic Materials, Chemicals",1.530 Billion USD,,USA,,,,Not found,1916,,,,,,"1,939 Million USD"
ALOK INDUSTRIES," Consumer Cyclical, Textile",1.526 Billion USD,,India,,,,Not found,1986,,,,,,899 Million USD
ALEXANDER & BALDWIN," Real Estate, Consumer Services, Property Investments",1.517 Billion USD,,USA,,,,Not found,1870,,,,,,379 Million USD
APLUS FINANCIAL, Financial Services,"6,769",,Japan,,,,Not found,Not found,,,,,,Not found
CHONGQING DEPARTMENT STORE," Consumer Cyclical, Retail, Department Stores",1.504 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
NARAYANA HRUDAYALAYA," Healthcare, Healthcare Service, Hospitals",1.484 Billion USD,,India,,,,Not found,2000,,,,,,463 Million USD
JENTECH PRECISION INDUSTRIAL," Technology, Electronics, Capital Goods",1.360 Billion USD,,Taiwan,,,,Not found,1987,,,,,,291 Million USD
HAINAN HAIDE INDUSTRY, Real Estate,1.226 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
ZHEJIANG JINGGONG SCIENCE & TECHNOLOGY CO. LTD," Industries, Industry Machinery",1.071 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
SHANGHAI FENGYUZHU EXHIBITION," Communication Services, Advertising",0.972 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
DOUZONE BIZON," Technology, Software and IT",2.293 Billion USD,,South Korea,,,,Not found,1977,,,,,,238 Million USD
DENA," Technology, Software and IT",2.153 Billion USD,,Japan,,,,Not found,1999,,,,,,955 Million USD
LUNDIN GOLD," Basic Materials, Gold Mining, Mining",2.110 Billion USD,,Canada,,,,Not found,1994,,,,,,733 Million USD
MERIAN CHRYSALIS INVESTMENT COMPANY LIMITED, Asset Management,2.084 Billion USD,,UK,,,,Not found,2018,,,,,,Not found
"JANUS INTERNATIONAL GROUP, INC."," Industries, Building Products and Equipment",2.077 Billion USD,,USA,,,,Not found,2002,,,,,,750 Million USD
FUJITEC," Industries, Industry Machinery, Elevators, Escalators, Heavy Machinery",2.037 Billion USD,,Japan,,,,Not found,1948,,,,,,"1,365 Million USD"
UBE INDUSTRIES," Basic Materials, Chemicals",2.013 Billion USD,,Japan,,,,Not found,1897,,,,,,"4,781 Million USD"
SYSTEMAX," Industries, Consumer Services",1.343 Billion USD,,USA,,,,Not found,Not found,,,,,,Not found
REE AUTOMOTIVE LTD.," Consumer Cyclical, Recreational Vehicles, Electric Vehicles",1.996 Billion USD,,USA,,,,Not found,2011,,,,,,0 Million USD
SOTETSU HOLDINGS," Industries, Railway",1.949 Billion USD,,Japan,,,,Not found,Not found,,,,,,"1,581 Million USD"
NTG NORDIC TRANSPORT GROUP A/S," Industries, Logistics",1.927 Billion USD,,Denmark,,,,Not found,1988,,,,,,982 Million USD
GS YUASA CORPORATION," Industries, Electrical Products, Lighting Products, Batteries",1.901 Billion USD,,Japan,,,,Not found,2004,,,,,,"3,153 Million USD"
TOKYO SEIMITSU," Technology, Semiconductors",1.825 Billion USD,,Japan,,,,Not found,1949,,,,,,973 Million USD
PT BANK MAYBANK INDONESIA TBK," Financial Services, Banking Services",1.814 Billion USD,,Indonesia,,,,Not found,1959,,,,,,639 Million USD
EMPIRE STATE REALTY TRUST," Real Estate, Consumer Services, Property Investments",1.802 Billion USD,,USA,,,,Not found,2013,,,,,,624 Million USD
METHODE ELECTRONICS," Technology, Electronics, Electrical Products, Capital Goods",1.796 Billion USD,,USA,,,,Not found,1946,,,,,,"1,163 Million USD"
UCO BANK," Financial Services, Banking Services",1.780 Billion USD,,India,,,,Not found,1943,,,,,,"1,198 Million USD"
CONVERGE TECHNOLOGY SOLUTIONS CORP., Software and IT,1.778 Billion USD,,Canada,,,,Not found,2016,,,,,,Not found
OX2 AB (PUBL)," Utilities, Renewable Energy, Wind Power",1.778 Billion USD,,Sweden,,,,Not found,2004,,,,,,Not found
S IMMO AG," Real Estate, Property Investments",1.741 Billion USD,,Austria,,,,Not found,1987,,,,,,200 Million USD
SHANGHAI BAOSTEEL PACKAGING," Consumer Cyclical, Packaging",1.657 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
BEIJER ALMA AB (PUBL)," Industries, Industry Machinery",1.576 Billion USD,,Sweden,,,,Not found,1983,,,,,,508 Million USD
SHANXI ZHANGZE ELECTRIC POWER," Utilities, Electricity Generation, Power Generation",1.412 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
ENDURANCE INTERNATIONAL GROUP HOLDINGS," Technology, Software and IT, Software Products",1.339 Billion USD,,USA,,,,Not found,Not found,,,,,,Not found
"NINGBO ZHENYU TECHNOLOGY CO., LTD."," Metal Fabrication Products, Metal Products Manufacturing",1.262 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
PALADIN ENERGY LIMITED," Basic Materials, Mining, Uranium",1.169 Billion USD,,Australia,,,,Not found,1993,,,,,,4 Million USD
YINGKOU JINCHEN MACHINERY," Industries, Solar Power Devices, Machinery Manufacturing, Technology, Automation, Industry Machinery",2.686 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
GUIZHOU CHANHEN CHEMICAL CORPORATION," Basic Materials, Chemicals",2.520 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
TRAINLINE," Consumer Cyclical, Internet or Mobile App Based Business, Software and IT, Travel and Transport",2.501 Billion USD,,UK,,,,Not found,1997,,,,,,221 Million USD
MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS, Real Estate,2.404 Billion USD,,Brazil,,,,Not found,1974,,,,,,Not found
FENIX OUTDOOR INTERNATIONAL AG," Consumer Cyclical, Leisure, Retail",2.289 Billion USD,,Switzerland,,,,Not found,1921,,,,,,Not found
CREATE SD HOLDINGS," Healthcare, Pharmacy, Retail",2.218 Billion USD,,Japan,,,,Not found,1998,,,,,,"2,559 Million USD"
SINOSTEEL ENGINEERING & TECHNOLOGY," Industries, Engineering Products, Engineering Services, Construction",2.124 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
FUJI OIL HOLDINGS," Consumer Defensive, FMCG, Package Foods, Food Products",1.959 Billion USD,,Japan,,,,Not found,1950,,,,,,"3,166 Million USD"
COSCO SHIPPING SPECIALIZED CARRIERS," Industries, Shipping",1.926 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
PENNYMAC MORTGAGE INVESTMENT TRUST," Real Estate, Consumer Services, Property Investments",1.906 Billion USD,,USA,,,,Not found,2008,,,,,,81 Million USD
FORMOSA TAFFETA," Consumer Cyclical, Textile",1.872 Billion USD,,Taiwan,,,,Not found,1973,,,,,,"1,084 Million USD"
SAUDI AIRLINES CATERING COMPANY," Industries, Food and Beverage, Airlines, Airports Operating",1.838 Billion USD,,Saudi Arabia,,,,Not found,1981,,,,,,323 Million USD
TORIDOLL HOLDINGS CORPORATION," Consumer Cyclical, Restaurants",1.827 Billion USD,,Japan,,,,Not found,1990,,,,,,"1,119 Million USD"
HANNSTAR DISPLAY CORPORATION," Technology, Computers Hardware",1.787 Billion USD,,Taiwan,,,,Not found,1998,,,,,,903 Million USD
WALLISER KANTONALBANK," Financial Services, Banking Services",1.765 Billion USD,,Switzerland,,,,Not found,1916,,,,,,243 Million USD
GUIZHOU GAS GROUP CORPORATION," Utilities, Gas Utilities",1.743 Billion USD,,China,,,,Not found,Not found,,,,,,740 Million USD
COHU," Technology, Semiconductors",1.734 Billion USD,,USA,,,,Not found,1957,,,,,,887 Million USD
SHENZHEN SUNLINE TECH," Technology, Software and IT",1.706 Billion USD,,China,,,,Not found,Not found,,,,,,229 Million USD
FENG HSIN STEEL," Basic Materials, Iron and Steel, Metals",1.683 Billion USD,,Taiwan,,,,Not found,1969,,,,,,"1,268 Million USD"
TPG SPECIALTY LENDING," Financial Services, Asset Management",1.661 Billion USD,,USA,,,,Not found,Not found,,,,,,236 Million USD
BONHEUR ASA," Industries, Renewable Energy, Shipping, Conglomerate",1.630 Billion USD,,Norway,,,,Not found,1897,,,,,,776 Million USD
CHIPSEA TECHNOLOGIES (SHENZHEN) CORP.," Technology, Semiconductors",1.592 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
SOLUTIONS 30 S.E, Technology,"6,822",,Luxembourg,,,,Not found,Not found,,,,,,Not found
CHINA PETROCHEMICAL DEVELOPMENT CORPORATION," Basic Materials, Chemicals, Petrochemicals, Plastics / Plastic Products",1.514 Billion USD,,Taiwan,,,,Not found,1969,,,,,,"1,162 Million USD"
ENCORE CAPITAL GROUP, Financial Services,1.490 Billion USD,,USA,,,,Not found,1953,,,,,,"1,614 Million USD"
TX GROUP AG," Communication Services, Publishing, Media",1.488 Billion USD,,Switzerland,,,,Not found,1893,,,,,,Not found
BARLOWORLD," Industries, Rent / Lease Services",1.476 Billion USD,,South Africa,,,,Not found,1902,,,,,,"2,473 Million USD"
TIANJIN RINGPU BIO-TECHNOLOGY," Healthcare, Pharmaceutical",1.387 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
STOCK YARDS BANCORP," Financial Services, Banking Services",1.371 Billion USD,,USA,,,,Not found,1904,,,,,,232 Million USD
"MONTROSE ENVIRONMENTAL GROUP, INC.", Waste and Trash Management,1.310 Billion USD,,USA,,,,Not found,2012,,,,,,546 Million USD
COFCO MEAT HOLDINGS," Consumer Defensive, FMCG, Package Foods, Food Products",1.217 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
ALLIANCE RESOURCE PARTNERS," Energy, Coal Mining, Mining",1.102 Billion USD,,USA,,,,Not found,1971,,,,,,"1,569 Million USD"
"HIGHPEAK ENERGY, INC."," Energy, Oil and Gas",0.883 Billion USD,,USA,,,,Not found,2019,,,,,,220 Million USD
FARADAY FUTURE INTELLIGENT ELECTRIC INC.," Consumer Cyclical, Automobile, Electric Vehicles",3.081 Billion USD,,USA,,,,Not found,2014,,,,,,0 Million USD
DOCEBO," Technology, Software and IT",2.741 Billion USD,,Canada,,,,Not found,2005,,,,,,80 Million USD
"UCLOUD TECHNOLOGY CO., LTD."," Technology, Software and IT Infrastructure",2.247 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
LENDINGTREE, Financial Services,2.219 Billion USD,,USA,,,,Not found,1996,,,,,,"1,098 Million USD"
SLEEP NUMBER CORPORATION," Consumer Cyclical, Home Furnishing, Consumer Durables",2.185 Billion USD,,USA,,,,Not found,1987,,,,,,"2,184 Million USD"
PING IDENTITY HOLDING," Technology, Software and IT Infrastructure",2.131 Billion USD,,USA,,,,Not found,2016,,,,,,299 Million USD
LOJAS AMERICANAS," Consumer Cyclical, Retail",2.105 Billion USD,,Brazil,,,,Not found,1929,,,,,,"4,465 Million USD"
KOKUYO," Industries, Furniture, Pens & Stationery, Toys, Office Equipment",2.019 Billion USD,,Japan,,,,Not found,1931,,,,,,37 Million USD
REALORD GROUP HOLDINGS," Industries, Waste and Trash Management",1.989 Billion USD,,Hong Kong,,,,Not found,2005,,,,,,152 Million USD
NISHI-NIPPON RAILROAD," Industries, Railway",1.933 Billion USD,,Japan,,,,Not found,1908,,,,,,"3,117 Million USD"
PREMIER INVESTMENT CORPORATION," Real Estate, Property Investments",1.880 Billion USD,,Japan,,,,Not found,1951,,,,,,11 Million USD
VETOQUINOL SA," Healthcare, Pharmaceutical",1.862 Billion USD,,France,,,,Not found,1933,,,,,,521 Million USD
TS TECH," Consumer Cyclical, Automobile, Automobile Parts",1.853 Billion USD,,Japan,,,,Not found,1960,,,,,,"2,554 Million USD"
CANGZHOU MINGZHU PLASTIC," Consumer Cyclical, Automobile, Automobile Parts",1.795 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
"XINJIANG JOINWORLD CO.,LTD."," Basic Materials, Aluminum",1.782 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
SHIJIAZHUANG CHANGSHAN BEIMING TECHNOLOGY CO. LTD," Consumer Cyclical, Textile",1.765 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
CITIC GUOAN INFORMATION INDUSTRY," Communication Services, Entertainment",1.764 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
TUNG HO STEEL ENTERPRISE CORPORATION," Basic Materials, Iron and Steel, Metals",1.711 Billion USD,,Taiwan,,,,Not found,1946,,,,,,"1,943 Million USD"
ZHEJIANG NARADA POWER SOURCE," Industries, Electrical Products, Batteries",1.641 Billion USD,,China,,,,Not found,Not found,,,,,,"1,724 Million USD"
STARHUB LTD," Communication Services, Telecom, Internet Providers, Mobile Services, Television Services",1.563 Billion USD,,Singapore,,,,Not found,1998,,,,,,"1,499 Million USD"
ANHUI EXPRESSWAY COMPANY," Industries, Infrastructure",1.436 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
OCTOPUS TITAN VCT," Financial Services, Asset Management",1.424 Billion USD,,UK,,,,Not found,Not found,,,,,,259 Million USD
TELIX PHARMACEUTICALS," Healthcare, Pharmaceutical, HealthCare Products, Biotechnology",1.411 Billion USD,,Australia,,,,Not found,2015,,,,,,5 Million USD
LONG YUAN CONSTRUCTION GROUP," Industries, Construction",1.269 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
BEAR ELECTRIC APPLIANCE," Consumer Cyclical, Home Appliances, Kitchen Appliances, Electrical Products, Home Furnishing",1.134 Billion USD,,China,,,,Not found,Not found,,,,,,525 Million USD
NORTHERN OIL AND GAS," Energy, Oil and Gas",1.098 Billion USD,,USA,,,,Not found,2006,,,,,,975 Million USD
KEDA GROUP," Industries, Construction, Advertising",0.851 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
TIANJIN SONGJIANG, Real Estate,0.401 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
CAMPING WORLD HOLDINGS," Consumer Cyclical, Retail, Automobile, Automobile Parts, Consumer Durables, Recreational Vehicles",3.498 Billion USD,,USA,,,,Not found,1966,,,,,,"6,913 Million USD"
TOEI COMPANY," Communication Services, Entertainment",2.235 Billion USD,,Japan,,,,Not found,1949,,,,,,858 Million USD
LOTTE CORPORATION," Consumer Defensive, Chemicals, Conglomerate, Food and Beverage, Food Products, Chocolate & Confectionery",2.192 Billion USD,,South Korea,,,,Not found,1967,,,,,,"7,424 Million USD"
VOYAGER DIGITAL (CANADA)," Technology, Software and IT",2.151 Billion USD,,USA,,,,Not found,Not found,,,,,,175 Million USD
PETKIM PETROKIMYA HOLDING A.S.," Basic Materials, Chemicals",1.916 Billion USD,,Turkey,,,,Not found,1965,,,,,,Not found
SHANDONG JINCHENG PHARMACEUTICAL GROUP CO. LTD," Basic Materials, Pharmaceutical, HealthCare Products, Chemicals",1.842 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORPORATION," Real Estate, Property Investments",1.833 Billion USD,,Japan,,,,Not found,2016,,,,,,67 Million USD
ASSECO POLAND," Technology, Software and IT",1.827 Billion USD,,Poland,,,,Not found,1991,,,,,,"14,494 Million USD"
CONVERGE TECHNOLOGY SOLUTIONS," Technology, Software and IT",1.821 Billion USD,,Canada,,,,Not found,2016,,,,,,"1,174 Million USD"
FARGLORY LAND DEVELOPMENT, Real Estate,1.806 Billion USD,,Taiwan,,,,Not found,1969,,,,,,"1,095 Million USD"
STANDARD FOODS CORPORATION," Consumer Defensive, Food Products, FMCG, Package Foods",1.710 Billion USD,,Taiwan,,,,Not found,1986,,,,,,"1,134 Million USD"
TERNA ENERGY SOCIETE ANONYME COMMERCIAL TECHNICAL COMPANY," Utilities, Renewable Energy",1.700 Billion USD,,Greece,,,,Not found,Not found,,,,,,Not found
HACHIJUNI BANK," Financial Services, Banking Services",1.688 Billion USD,,Japan,,,,Not found,1931,,,,,,"1,032 Million USD"
LECTRA SA," Technology, Software and IT",1.592 Billion USD,,France,,,,Not found,1973,,,,,,387 Million USD
YOUNGONE CORPORATION," Consumer Cyclical, Apparels and Accessories, Clothing",1.581 Billion USD,,South Korea,,,,Not found,1974,,,,,,"2,089 Million USD"
"SHENZHEN HYMSON LASER INTELLIGENT EQUIPMENTS CO.,LTD."," Industries, Industry Machinery",1.561 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
CHURCHILL CAPITAL CORP II," Financial Services, Shell Company",1.307 Billion USD,,USA,,,,Not found,Not found,,,,,,Not found
HONGLI ZHIHUI GROUP," Technology, Electronics, Capital Goods",1.491 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
CINDA REAL ESTATE, Real Estate,1.476 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
SHANDONG YISHENG LIVESTOCK & POULTRY BREEDING," Consumer Defensive, Meat / Poultry / Fish / Chicken, Farming / Seeds / Milling",1.457 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
ANDLAUER HEALTHCARE GROUP," Healthcare, Logistics",1.423 Billion USD,,Canada,,,,Not found,1991,,,,,,338 Million USD
ASAHI INDIA GLASS," Consumer Cyclical, Automobile, Automobile Parts",1.184 Billion USD,,India,,,,Not found,1984,,,,,,394 Million USD
LONCIN MOTOR," Consumer Cyclical, Heavy Machinery, Automobile, Bikes, Agriculture Machinery, Commercial Vehicles, Recreational Vehicles",1.158 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
JINYUAN EP," Industries, Construction",0.798 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
EDITAS MEDICINE," Healthcare, Biotechnology, Technology, HealthCare Products",4.341 Billion USD,,USA,,,,Not found,2013,,,,,,25 Million USD
CARSGEN THERAPEUTICS HOLDINGS LIMITED," Healthcare, Biotechnology",2.902 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
PLATZER FASTIGHETER HOLDING AB (PUBL), Real Estate,2.424 Billion USD,,Sweden,,,,Not found,Not found,,,,,,113 Million USD
NANOFILM TECHNOLOGIES INTERNATIONAL LIMITED," Technology, Electronics",2.121 Billion USD,,Singapore,,,,Not found,Not found,,,,,,181 Million USD
REGIONAL S. A. B. DE C. V," Financial Services, Banking Services",2.025 Billion USD,,Mexico,,,,Not found,Not found,,,,,,616 Million USD
AMC NETWORKS," Communication Services, Media, Advertising, Consumer Services, Television Services, Broadcasting",2.007 Billion USD,,USA,,,,Not found,Not found,,,,,,"3,077 Million USD"
INFOMART CORPORATION," Technology, Software and IT",1.997 Billion USD,,Japan,,,,Not found,Not found,,,,,,72 Million USD
SHANXI LANHUA SCI-TECH VENTURE," Energy, Coal Mining, Mining",1.914 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
TESSENDERLO GROUP NV," Basic Materials, Agriculture Related",1.800 Billion USD,,Belgium,,,,Not found,1919,,,,,,"2,080 Million USD"
MYR GROUP," Industries, Utilities, Construction, Infrastructure, Electric Utilities",1.754 Billion USD,,USA,,,,Not found,1891,,,,,,"2,498 Million USD"
GOLDENMAX INTERNATIONAL TECHNOLOGY," Technology, Electronics, Capital Goods",1.724 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
BYTES TECHNOLOGY GROUP PLC," Technology, Software and IT",1.711 Billion USD,,UK,,,,Not found,Not found,,,,,,Not found
IBF FINANCIAL HOLDINGS," Financial Services, Stock Markets, Trading, Capital Markets",1.694 Billion USD,,Taiwan,,,,Not found,Not found,,,,,,338 Million USD
TRIANGLE TYRE CO. LTD," Consumer Cyclical, Automobile, Automobile Parts",1.648 Billion USD,,China,,,,Not found,Not found,,,,,,"1,303 Million USD"
ZHEJIANG RUNTU," Basic Materials, Chemicals",1.612 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
BEIJING WATER BUSINESS DOCTOR," Utilities, Water Utilities",1.553 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
AKER CARBON CAPTURE ASA, Industries,1.505 Billion USD,,Norway,,,,Not found,Not found,,,,,,Not found
SHENZHEN AGRICULTURAL PRODUCTS GROUP," Consumer Defensive, Food Chains / Distributor",1.497 Billion USD,,China,,,,Not found,Not found,,,,,,595 Million USD
ZHEJIANG GUYUELONGSHAN SHAOXING WINE," Consumer Defensive, Alcoholic Beverages, Beverages",1.429 Billion USD,,China,,,,Not found,Not found,,,,,,229 Million USD
DR.PENG TELECOM&MEDIA GROUP," Communication Services, Telecom",1.420 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
MEGA OR HOLDINGS LTD, Real Estate,1.340 Billion USD,,Israel,,,,Not found,Not found,,,,,,48 Million USD
HORNBACH BAUMARKT AG," Consumer Cyclical, Retail, Real Estate",1.293 Billion USD,,Germany,,,,Not found,1877,,,,,,"5,494 Million USD"
FIRST BANCORP," Financial Services, Banking Services",1.190 Billion USD,,USA,,,,Not found,1948,,,,,,823 Million USD
MARUWA," Technology, Electronics, Capital Goods",1.190 Billion USD,,Japan,,,,Not found,1973,,,,,,397 Million USD
GUANGDONG GREAT RIVER SMARTER LOGISTICS," Industries, Shipping",1.109 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
HYBIO PHARMACEUTICAL," Healthcare, Pharmaceutical, HealthCare Products",0.736 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
VERICEL CORPORATION," Healthcare, Biotechnology, Technology, HealthCare Products, Biopharmaceutical",2.526 Billion USD,,USA,,,,Not found,Not found,,,,,,156 Million USD
BRINKER INTERNATIONAL," Consumer Cyclical, Restaurants, Consumer Services, Entertainment",2.450 Billion USD,,USA,,,,Not found,Not found,,,,,,"3,804 Million USD"
CELLDEX THERAPEUTICS," Healthcare, Biotechnology",2.447 Billion USD,,USA,,,,Not found,Not found,,,,,,4 Million USD
UPONOR OYJ," Industries, Construction Materials, Plastics / Plastic Products, Building Products and Equipment",2.323 Billion USD,,Finland,,,,Not found,Not found,,,,,,"1,313 Million USD"
FILA HOLDINGS CORPORATION," Consumer Cyclical, Footwear, Sports Goods",2.307 Billion USD,,South Korea,,,,Not found,Not found,,,,,,"2,838 Million USD"
ISTAR," Real Estate, Property Investments",1.880 Billion USD,,USA,,,,Not found,Not found,,,,,,308 Million USD
RESORTTRUST," Consumer Cyclical, Hotels, Restaurants, Resorts, Leisure",1.853 Billion USD,,Japan,,,,Not found,Not found,,,,,,"1,151 Million USD"
"TINAVI MEDICAL TECHNOLOGIES CO., LTD."," Healthcare, Medical Equipment",1.846 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
J. B. CHEMICALS & PHARMACEUTICALS," Healthcare, Pharmaceutical, HealthCare Products",1.839 Billion USD,,India,,,,Not found,1976,,,,,,303 Million USD
ARIAKE JAPAN," Consumer Defensive, Retail, Convenience Stores, FMCG, Package Foods, Food Products",1.836 Billion USD,,Japan,,,,Not found,Not found,,,,,,384 Million USD
CREDIT SAISON, Financial Services,1.810 Billion USD,,Japan,,,,Not found,Not found,,,,,,"2,648 Million USD"
JAMES HALSTEAD," Industries, Construction Materials, Building Products and Equipment",1.764 Billion USD,,UK,,,,Not found,Not found,,,,,,313 Million USD
JIH SUN FINANCIAL HOLDING," Financial Services, Stock Markets, Trading, Capital Markets",1.752 Billion USD,,Taiwan,,,,Not found,Not found,,,,,,Not found
PT BANK CIMB NIAGA TBK," Financial Services, Banking Services",1.733 Billion USD,,Indonesia,,,,Not found,Not found,,,,,,"1,197 Million USD"
EATON VANCE TAX-ADVANTAGED GLOBAL DIVIDEND INCOME FUND," Financial Services, Asset Management",1.698 Billion USD,,USA,,,,Not found,Not found,,,,,,593 Million USD
OUTOTEC OYJ," Industries, Heavy Machinery, Machinery Manufacturing, Agriculture Machinery, Mining Equipment","6,923",,Finland,,,,Not found,Not found,,,,,,Not found
RADIANT OPTO-ELECTRONICS CORPORATION," Technology, Electronics, Semiconductors",1.657 Billion USD,,Taiwan,,,,Not found,Not found,,,,,,"2,019 Million USD"
GALAXY DIGITAL HOLDINGS," Financial Services, Stock Markets, Trading, Capital Markets",1.638 Billion USD,,USA,,,,Not found,Not found,,,,,,0 Million USD
CMR SURGICAL," Medical Equipment, Robotics","6,925",,UK,,,,Not found,2014,,,,,,Not found
FIGURE TECHNOLOGIES," Technology, Software and IT","6,925",,USA,,,,Not found,2018,,,,,,Not found
FIRSTCRY," eCommerce, Internet or Mobile App Based Business","6,925",,India,,,,Not found,2010,,,,,,Not found
HEADSPIN," Artificial Intelligence, Software and IT, Technology","6,925",,USA,,,,Not found,2015,,,,,,Not found
MONZO," Banking Services, Financial Services","6,925",,UK,,,,Not found,2015,,,,,,Not found
RAPYD," Digital Payment Solution Services, Technology","6,925",,UK,,,,Not found,2016,,,,,,Not found
SMARTNEWS,Not found,"6,925",,Japan,,,,Not found,2012,,,,,,Not found
EATON VANCE TAX-MANAGED BUY-WRITE OPPORTUNITIES FUND," Financial Services, Asset Management",1.625 Billion USD,,USA,,,,Not found,Not found,,,,,,107 Million USD
CASETEK HOLDINGS," Technology, Computers Hardware, Electronics, Capital Goods",1.294 Billion USD,,Taiwan,,,,Not found,Not found,,,,,,Not found
SHANDONG HI-SPEED ROAD&BRIDGE," Industries, Construction",1.621 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
CHINA PUBLISHING & MEDIA HOLDINGS," Communication Services, Publishing",1.536 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
BEIJING SL PHARMACEUTICAL," Healthcare, Pharmaceutical, HealthCare Products",1.512 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
HUAYI BROTHERS MEDIA CORPORATION," Communication Services, Entertainment",1.459 Billion USD,,China,,,,Not found,Not found,,,,,,204 Million USD
F.I.B.I. HOLDINGS LTD," Financial Services, Banking Services",1.453 Billion USD,,Israel,,,,Not found,Not found,,,,,,"1,392 Million USD"
BUFAB AB (PUBL)," Industries, Fasteners, Tools and Equipment, Metal Products Manufacturing, Plastics / Plastic Products",1.452 Billion USD,,Sweden,,,,Not found,Not found,,,,,,554 Million USD
"JILIN CHEMICAL FIBRE STOCK CO.,LTD"," Basic Materials, Chemicals",1.451 Billion USD,,China,,,,Not found,Not found,,,,,,Not found
SPAR NORD BANK A/S," Financial Services, Banking Services",1.446 Billion USD,,Denmark,,,,Not found,Not found,,,,,,501 Million USD
